YEAR,DESCRIPTION,Number of Aircraft
2007-08,Airbus 319-131,3
2007-08,Airbus 320,29
2007-08,Airbus 320-200,17
2007-08,Airbus 320-232,13
2007-08,Airbus 321-232,8
2007-08,Airbus 330-200,8
2007-08,ATR 72-212A,35
2007-08,ATR 72-500,9
2007-08,Boeing 737-300,2
2007-08,Boeing 737-400,7
2007-08,Boeing 737-700,19
2007-08,Boeing 737-800,59
2007-08,Boeing 737 900,4
2007-08,Boeing 777-300,10
2007-08,CRJ- 200,7
2007-08,EMBRAER 170-175,5
2007-08,Total,235
2008-09,Airbus 319-131,3
2008-09,Airbus 320-200,19
2008-09,Airbus 320-232,32
2008-09,Airbus 321-232,8
2008-09,Airbus 330-200,12
2008-09,Airbus 330-223,5
2008-09,ATR42-500,8
2008-09,ATR 72-212A,27
2008-09,ATR 72-500,14
2008-09,Boeing 737-300,1
2008-09,Boeing 737-400,4
2008-09,Boeing 737-700,20
2008-09,Boeing 737-800,56
2008-09,Boeing 737 900,7
2008-09,Boeing 777-300,10
2008-09,CRJ- 200,7
2008-09,EMBRAER 170-100LR,2
2008-09,EMBRAER 170-200LR,3
2008-09,Total,238
2009-10,Airbus 319-131,3
2009-10,Airbus 320,8
2009-10,Airbus 320-200,25
2009-10,Airbus 320-232,23
2009-10,Airbus 330-200,12
2009-10,Airbus 330-223,5
2009-10,Airbus 321-232,8
2009-10,ATR42-500,2
2009-10,ATR 72-212A,25
2009-10,ATR 72-500,14
2009-10,Boeing 737-300,1
2009-10,Boeing 737-400,1
2009-10,Boeing 737-700,20
2009-10,Boeing 737-800,61
2009-10,Boeing 737 900,7
2009-10,Boeing 777-300,10
2009-10,CRJ- 200,7
2009-10,Total,232
2010-11,Airbus 319-131,3
2010-11,Airbus 320-200,38
2010-11,Airbus 320-232,23
2010-11,Airbus 321-232,8
2010-11,Airbus 330-200,12
2010-11,Airbus 330-223,5
2010-11,ATR42-500,2
2010-11,ATR 72-212A,25
2010-11,ATR 72-500,20
2010-11,Boeing 737-700,20
2010-11,Boeing 737-800,52
2010-11,Boeing 737 900,2
2010-11,Boeing 777-300,10
2010-11,Total,220
2011-12,Airbus 320,12
2011-12,Airbus 320-200,55
2011-12,Airbus 330-200,12
2011-12,ATR 72-500,20
2011-12,Boeing 737-700,20
2011-12,Boeing 737-800,82
2011-12,Boeing 737-900,11
2011-12,Boeing 777-300,10
2011-12,Bombardier DHC-8-402,7
2011-12,Total,229
2012-13,Airbus 320,14
2012-13,Airbus 320-200,66
2012-13,Airbus 330-200,15
2012-13,ATR 72-500,18
2012-13,Boeing 737-700,18
2012-13,Boeing 737-800,85
2012-13,Boeing 737-900,12
2012-13,Boeing 777-300,10
2012-13,Bombardier DHC-8-402,15
2012-13,Total,253
2013-14,Airbus 320,18
2013-14,Airbus 320-200,89
2013-14,ATR 72-500,18
2013-14,Boeing 737-700,8
2013-14,Boeing 737-800,96
2013-14,Boeing 737-900,12
2013-14,Boeing 777-300,10
2013-14,Bombardier DHC-8-402,15
2013-14,Embraer and ERJ 170 -100 LR (VT-LNR),2
2013-14,Embraer and ERJ 190 -100 STD (VT-LBR),2
2013-14,Total,270
2014-15,Airbus 320,28
2014-15,Airbus 320-200,94
2014-15,Airbus 330-200/300,12
2014-15,ATR 72-500/600,18
2014-15,Boeing 737-700,6
2014-15,Boeing 737-800,82
2014-15,Boeing 737-900,5
2014-15,Boeing 737-900ER,2
2014-15,Boeing 757-200,5
2014-15,Boeing 777-300ER,10
2014-15,Embraer and ERJ 170 -100 LR (VT-LSR),2
2014-15,Embraer and ERJ 190 -100 STD (VT-LBR),2
2014-15,Q-400,15
2014-15,Total,281
2015-16,A319BH,1
2015-16,Airbus A320,134
2015-16,"Airbus A320-232, Sharklets",9
2015-16,Airbus A330-200/300,12
2015-16,ATR 72-212A,2
2015-16,ATR 72-212 A / VT,2
2015-16,ATR72-500/600,18
2015-16,Boeing 737-700,8
2015-16,Boeing 737-800,85
2015-16,Boeing-737-900,6
2015-16,Boeing 737-900ER,4
2015-16,Boeing 757-200,5
2015-16,Boeing 777-300ER,10
2015-16,DH8,13
2015-16,Embraer and ERJ 190 -100 STD,2
2015-16,Embraer and ERJ 190 -100 LR,1
2015-16,Total,312
2016-17,737 - 700,2
2016-17,737 - 800,26
2016-17,737 - 900 ER,4
2016-17,A 320,0
2016-17,A 330- 200 / 300,9
2016-17,A319,0
2016-17,A320-200,131
2016-17,AIRBUS A320,31
2016-17,Airbus Industrie,13
2016-17,ATR 72 - 500 / 600,18
2016-17,ATR 72-212 A / VT-TMC,1
2016-17,ATR 72-212 A / VT-TMK,1
2016-17,ATR 72-212 A / VT-TMP,1
2016-17,ATR 72-212 A / VT-TMU,1
2016-17,B- 737 - 800,59
2016-17,B- 737 - 900,6
2016-17,B 777- 300 ER,10
2016-17,B-737 - 700,2
2016-17,Boeing 737 - 700,3
2016-17,Boeing 737 - 800,5
2016-17,BOEING 757- 200,6
2016-17,DH8,17
2016-17,BOMBARDIER CRJ-200(CL-600-2B19),1
2016-17,BOEING 737- 400SF,1
2016-17,Total,348
