S.No.,Name of State/UT,Total ,Surfaced
1,Andhra Pradesh,5021,2002
2,Arunachal Pradesh,4924,3260
3,Assam,21803,1550
4,Bihar,2559,508
5,Chhattisgarh,15772,7270
6,Goa,323,155
7,Gujarat,31347,24725
8,Haryana,1594,268
9,Himachal Pradesh,7792,3419
10,Jammu And Kashmir,18557,7247
11,Jharkhand,14106,6797
12,Karnataka,20435,8700
13,Kerala,8983,4009
14,Madhya Pradesh,35818,10331
15,Maharashtra,21993,9349
16,Manipur,1298,1202
17,Meghalaya,460,221
18,Mizoram,1083,729
19,Nagaland,1035,796
20,Odisha,25731,10948
21,Punjab,10195,2397
22,Rajasthan,19699,9546
23,Sikkim,666,630
24,Tamilnadu,10038,6138
25,Telangana,4426,2408
26,Tripura,1439,20
27,Uttarakhand,5284,1655
28,Uttar Pradesh,42088,14460
29,West Bengal,12703,4440
30,A & N Islands,282,206
31,Chandigarh,0,0
32,Dadra & Nagar Haveli ,0,0
33,Daman & Diu ,1,1
34,Delhi,52,52
35,Lakshadweep,0,0
36,Puducherry,41,33
Total ,Total ,347547,145471
