S. No. - Col.1,Name of States/UTs (Names of Coal Fields) - Col.2,Total Length (Col. 6+7) - Col.3,Surfaced - W.B.M. - Col.4,Surfaced - B.T./C.C - Col.5,Surfaced - Total (Col. 4+5) - Col.6,Unsurfaced - Col.7,,
1,Andhra Pradesh ,0,NA,NA,0,NA,,
2,Arunachal Pradesh,0,NA,NA,0,NA,,
3,Assam,0,NA,NA,0,NA,,
3,"Assam - i. North Eastern Coalfields, Margherita- Tinsukia*",51,2,42,44,7,,
4,Bihar ,0,NA,NA,0,NA,,
5,Chhattisgarh ,0,NA,NA,0,NA,,
5,"Chhattisgarh - i. South Eastern Coal Fields, Bilaspur",793,78,681,759,34,, 
6,Goa ,0,NA,NA,0,NA,,
7,Gujarat ,0,NA,NA,0,NA,,
8,Haryana ,0,NA,NA,0,NA,,
9,Himachal Pradesh,0,NA,NA,0,NA,,
10,Jammu & Kashmir,0,NA,NA,0,NA,,
11,Jharkhand,0,NA,NA,0,NA,,
11,"Jharkhand - i.  Bharat Coking Coal Ltd., Dhanbad*",545,48,415,463,82,,
11,Jharkhand - ii.  Eastern Coal Fields Ltd.,104,29,57,85,19,,
11,"Jharkhand - iii. Central Coal Fields, Ranchi",678,41,627,668,10,,
12,Karnataka ,0,NA,NA,0,NA,,
13,Kerala,0,NA,NA,0,NA,,
14,Madhya Pradesh ,0,NA,NA,0,NA,,
14,Madhya Pradesh - i. Western Coal Fields,211,13,198,211,0,,
14,Madhya Pradesh - ii. Northern Coal fields Ltd. Singarauli*,302,26,212,238,64,,
15,Maharashtra,0,0,0,0,0,,
15,"Maharashtra - i. Western Coal Fields Ltd, Nagpur",560,184,334,518,41,,
16,Manipur,0,NA,NA,0,NA,,
17,Meghalaya ,0,NA,NA,0,NA,,
18,Mizoram ,0,NA,NA,0,NA,,
19,Nagaland ,0,NA,NA,0,NA,,
20,Odisha,0,NA,NA,0,NA,,
20,Odisha - i. Mahanadi Coal Fields. Sambalpur*,314,96,200,296,18,,
21,Punjab,0,NA,NA,0,NA,,
22,Rajasthan ,0,NA,NA,0,NA,,
23,Sikkim ,0,NA,NA,0,NA,,
24,Tamil Nadu ,0,NA,NA,0,NA,,
25,Telangana,0,NA,NA,0,NA,,
25,"Telangana - i. Singareni Coal field, Kothagudem, Bhadradri Dist.*",906,70,833,903,3,,
26,Tripura,0,NA,NA,0,NA,,
27,Uttarakhand ,0,NA,NA,0,NA,,
28,Uttar Pradesh ,0,NA,NA,0,NA,,
29,West Bengal,0,NA,NA,0,NA,,
29,"West Bengal - i. Eastern Coalfields Limited, Burdwan",301,42,232,274,27,,
30,Andaman & Nicobar Islands,0,NA,NA,0,NA,,
31,UT Chandigarh,0,NA,NA,0,NA,,
32,Dadra & Nagar Havelli,0,NA,NA,0,NA,,
33,Daman & Diu,0,NA,NA,0,NA,,
34,Delhi,0,NA,NA,0,NA,,
35,Lakshadweep,0,NA,NA,0,NA,,
36,Puducherry,0,NA,NA,0,NA,,
Total,Total,4765,629,3831,4460,305,,
