States/UTs,State/UT-Wise Total Number of Persons Killed in Road Accidents during - 2016,State/UT-Wise Total Number of Persons Killed in Road Accidents during - 2017,State/UT-Wise Total Number of Persons Killed in Road Accidents during - 2018,State/UT-Wise Total Number of Persons Killed in Road Accidents during - 2019 - Numbers,State/UT-Wise Total Number of Persons Killed in Road Accidents during - 2019 - Rank,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2016,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2017,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2018,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2019,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2016,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2017,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2018,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2019,"Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2016","Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2017","Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2018","Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2019","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2016","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2017","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2018"
Andhra Pradesh,8541,8060,7556,7984,7,5.664356534,5.449149162,4.990192647,5.283463368,9.66602913,9.052619756,8.424479602,8.838702535,9.786242612,8.372834204,6.998878753,6.657324399,489.8293342,456.7253574,346.304212
Arunachal Pradesh,149,110,175,127,28,0.098816195,0.074368041,0.115574869,0.084043067,11.34805788,8.289374529,13.04996271,9.379615953,5.627887125,6.115561881,8.338376066,5.517996489,48.54636701,29.7093435,34.61590469
Assam,2572,2783,2966,3208,18,1.705739961,1.881511429,1.958828929,2.12291464,7.926284323,8.48217007,8.942893324,9.571547917,9.129016572,9.188867042,8.617090602,8.149336076,78.05292547,82.39152513,86.3189263
Bihar,4901,5554,6729,7205,9,3.250323308,3.754909981,4.444018835,4.767955106,4.716672441,5.286301683,6.336635528,6.715256354,8.939631314,8.892166392,9.137669605,8.42376458,237.3549869,265.0456954,231.5784752
Chhattisgarh,3908,4136,4592,5003,14,2.591769738,2.796238329,3.032684573,3.310767439,15.10104718,15.79469946,17.33615222,18.68045702,8.123976707,7.89007011,7.92631154,7.847515696,407.8936395,422.7112666,447.6594731
Goa,336,328,262,297,23,0.222833836,0.221751976,0.17303209,0.196541661,16.99544765,16.21354424,12.66924565,14.02928673,2.900950666,2.648057069,1.976699094,2.118325225,209.1753263,196.890078,140.8074229
Gujarat,8136,7289,7996,7390,8,5.395762178,4.927896804,5.28078089,4.890380047,12.95025865,11.47295851,12.45056211,11.38832812,3.995816376,3.307688199,3.356727998,2.932413426,454.1600609,402.8705296,396.3476004
Haryana,5024,5120,5118,5057,13,3.331896409,3.461494257,3.380069609,3.346502286,18.2843833,18.37232668,18.11489045,17.66267333,5.819559372,5.464039417,6.618387012,5.880459571,1036.258102,629.1016011,1023.171884
Himachal Pradesh,1271,1203,1208,1146,20,0.842922041,0.813315936,0.797796813,0.758372873,17.91402396,16.82282198,16.76380794,15.78729853,10.81232827,8.872911584,8.081040528,7.009916034,227.9463273,191.5234857,195.156913
Jammu and Kashmir,958,926,984,996,21,0.635341712,0.626043688,0.64986098,0.659109408,7.713986633,7.381426863,7.769443348,7.79342723,7.01547799,6.129020515,5.877546339,5.373214526,192.6927606,146.0898715,90.54389386
